Condor_ID	Timestamp	X	Y	Z	Contiguous time?
269	2/3/2007 7:00	635930.5625	3435737.7500	2244	
269	2/3/2007 8:00	635930.8125	3435719.2500	2261	
269	2/3/2007 9:00	635930.5625	3435737.7500	2240	
269	2/3/2007 10:00	635946.6875	3435719.5000	2271	
269	2/3/2007 11:00	636054.2500	3436016.5000	2274	
269	2/3/2007 12:00	636392.0625	3435725.2500	2440	
269	2/3/2007 19:00	635946.6875	3435719.5000	2271	NA
269	2/3/2007 20:00	635946.9375	3435701.0000	2289	
269	2/4/2007 7:00	635946.6875	3435719.5000	2271	NA
269	2/4/2007 8:00	635946.9375	3435701.0000	2289	
269	2/4/2007 14:00	636338.8750	3436149.5000	2560	NA
269	2/4/2007 15:00	651984.6875	3440021.0000	2480	
269	2/4/2007 16:00	651217.3750	3442523.0000	1420	
269	2/4/2007 17:00	651166.5625	3442744.0000	1400	
269	2/4/2007 18:00	650977.3750	3442630.5000	1260	
269	2/4/2007 19:00	650993.2500	3442630.7500	1280	
269	2/4/2007 20:00	650993.0000	3442649.2500	1280	
269	2/5/2007 5:00	650993.2500	3442630.7500	1270	NA
269	2/5/2007 6:00	650993.2500	3442630.7500	1270	
269	2/5/2007 7:00	651040.4375	3442668.2500	1270	
269	2/5/2007 8:00	651056.3125	3442668.5000	1260	
269	2/5/2007 9:00	651026.3750	3442538.7500	1270	
269	2/5/2007 10:00	653065.3750	3440073.5000	1270	
269	2/5/2007 11:00	657632.6875	3436666.5000	1280	
269	2/5/2007 12:00	656940.0000	3437247.7500	1600	
269	2/5/2007 13:00	661422.3750	3436446.5000	1280	
269	2/5/2007 14:00	684208.6875	3433583.7500	1120	
269	2/5/2007 15:00	695775.8750	3434696.7500	900	
269	2/5/2007 16:00	696436.1250	3434283.7500	580	
269	2/5/2007 17:00	696420.8750	3434246.5000	560	
269	2/5/2007 18:00	696838.0000	3434069.5000	510	
269	2/5/2007 19:00	696853.1250	3433256.5000	500	
269	2/5/2007 20:00	696819.5625	3433348.2500	420	
269	2/6/2007 5:00	696819.1875	3433366.7500	2087	NA
269	2/6/2007 6:00	696819.1875	3433366.7500	430	
269	2/6/2007 7:00	696851.0625	3433367.2500	430	
269	2/6/2007 8:00	696819.1875	3433366.7500	420	
269	2/6/2007 9:00	696786.3750	3433421.5000	440	
269	2/6/2007 10:00	696122.6875	3434019.2500	600	
269	2/6/2007 11:00	696122.6875	3434019.2500	610	
269	2/6/2007 12:00	684429.5625	3435528.2500	940	
269	2/6/2007 13:00	660743.5625	3438191.7500	1160	
269	2/6/2007 14:00	653237.7500	3439152.2500	1660	
269	2/6/2007 15:00	657112.4375	3436344.7500	1330	
269	2/6/2007 16:00	657112.4375	3436344.7500	1330	
269	2/6/2007 18:00	656716.4375	3436228.0000	1330	NA
269	2/6/2007 19:00	656669.5625	3436171.7500	1341	
269	2/6/2007 20:00	656700.2500	3436246.2500	1320	
269	2/7/2007 5:00	656700.5625	3436227.7500	1299	NA
269	2/7/2007 7:00	657047.7500	3436417.7500	1270	NA
269	2/7/2007 8:00	656871.9375	3436470.5000	1250	
269	2/7/2007 9:00	657410.2500	3436644.7500	1116	
269	2/7/2007 10:00	657266.5625	3436679.7500	1159	
269	2/7/2007 11:00	657250.6875	3436679.5000	1158	
269	2/7/2007 12:00	644887.8750	3437999.7500	2840	
269	2/7/2007 13:00	641352.2500	3434774.0000	2720	
269	2/7/2007 14:00	645698.7500	3434555.7500	2630	
269	2/7/2007 15:00	634069.1250	3424406.5000	2380	
269	2/7/2007 16:00	634409.5000	3431487.2500	2330	
269	2/7/2007 17:00	650915.1250	3442537.2500	1160	
269	2/7/2007 18:00	651073.2500	3442595.0000	1190	
269	2/7/2007 19:00	651073.0000	3442613.5000	1210	
269	2/7/2007 20:00	651072.7500	3442631.7500	1160	
269	2/8/2007 5:00	651057.1250	3442613.2500	1150	NA
269	2/8/2007 6:00	651056.8750	3442631.7500	1160	
269	2/8/2007 7:00	651344.3125	3442543.2500	1160	
269	2/8/2007 8:00	651567.8750	3442472.7500	1160	
269	2/8/2007 9:00	651804.7500	3442587.0000	1140	
269	2/8/2007 10:00	651805.5625	3442531.5000	950	
269	2/8/2007 11:00	640440.6250	3435131.5000	2430	
269	2/9/2007 15:00	636311.0625	3437073.0000	2220	NA
269	2/10/2007 20:00	635883.5625	3435681.7500	2273	NA
269	2/11/2007 14:00	650147.8125	3446185.0000	1700	NA
269	2/11/2007 15:00	653933.5625	3438330.7500	1720	
269	2/11/2007 16:00	656690.0625	3435858.0000	1710	
269	2/11/2007 17:00	656673.9375	3435876.2500	1580	
269	2/11/2007 18:00	656498.6875	3435892.2500	1570	
269	2/11/2007 19:00	656498.1250	3435929.0000	1560	
269	2/11/2007 20:00	656466.5625	3435910.2500	1560	
269	2/12/2007 5:00	656498.1250	3435929.0000	1490	NA
269	2/12/2007 6:00	656466.8750	3435891.7500	1553	
269	2/12/2007 7:00	657003.3125	3436195.2500	1380	
269	2/12/2007 8:00	657302.7500	3436384.5000	1360	
269	2/12/2007 9:00	657303.0625	3436366.0000	1350	
269	2/12/2007 10:00	654737.8750	3438804.5000	1320	
269	2/12/2007 12:00	646731.3750	3441554.5000	2214	NA
269	2/13/2007 16:00	640600.6250	3436260.5000	2490	NA
269	2/13/2007 18:00	656482.5000	3435910.5000	1510	NA
269	2/13/2007 19:00	656482.5000	3435910.5000	1520	
269	2/13/2007 20:00	656482.5000	3435910.5000	1520	
269	2/14/2007 5:00	656482.5000	3435910.5000	1520	NA
269	2/14/2007 6:00	656498.1250	3435929.0000	1520	
269	2/14/2007 8:00	656990.6875	3435973.2500	1510	NA
269	2/14/2007 9:00	656468.5000	3435780.7500	1619	
269	2/14/2007 10:00	656451.7500	3435836.0000	1606	
269	2/14/2007 11:00	646066.5000	3441342.0000	2500	
269	2/14/2007 12:00	656625.3750	3435931.0000	1560	
269	2/14/2007 13:00	656482.7500	3435892.0000	1543	
269	2/14/2007 14:00	640378.2500	3435038.2500	2950	
269	2/15/2007 10:00	635891.3750	3436310.0000	2380	NA
269	2/15/2007 15:00	636289.9375	3436241.2500	2500	NA
269	2/16/2007 10:00	635532.5625	3438245.5000	2040	NA
269	2/16/2007 11:00	642080.3750	3432677.2500	2820	
269	2/16/2007 14:00	646749.4375	3435660.2500	2850	NA
269	2/16/2007 15:00	651906.8125	3439909.0000	1920	
269	2/16/2007 16:00	656562.0000	3435911.5000	1910	
269	2/16/2007 17:00	656940.7500	3436120.5000	1400	
269	2/16/2007 18:00	656498.1250	3435929.0000	1485	
269	2/16/2007 19:00	656672.0000	3436005.5000	1458	
269	2/16/2007 20:00	656687.6250	3436024.2500	1445	
269	2/17/2007 5:00	656687.6250	3436024.2500	1445	NA
269	2/17/2007 7:00	656687.3750	3436042.7500	1420	NA
269	2/17/2007 8:00	656670.8750	3436079.5000	1430	
269	2/17/2007 9:00	656719.4375	3436024.7500	1449	
269	2/17/2007 10:00	657020.0000	3436140.0000	1430	
269	2/17/2007 12:00	656957.7500	3436046.7500	1454	NA
269	2/17/2007 13:00	656834.3125	3435786.2500	1680	
269	2/17/2007 14:00	656723.3750	3437909.7500	1100	
269	2/17/2007 15:00	657065.0000	3437397.2500	1630	
269	2/17/2007 16:00	658078.3125	3436654.7500	1280	
269	2/17/2007 17:00	656687.3750	3436042.7500	1430	
269	2/17/2007 18:00	656639.1250	3436079.0000	1384	
269	2/17/2007 19:00	656623.1875	3436078.7500	1380	
269	2/17/2007 20:00	656639.3750	3436060.5000	1398	
269	2/18/2007 5:00	656607.3125	3436078.5000	1374	NA
269	2/18/2007 6:00	656623.1875	3436078.7500	1390	
269	2/18/2007 8:00	656639.3750	3436060.5000	1398	NA
269	2/18/2007 10:00	648427.8750	3437365.2500	2197	NA
269	2/18/2007 12:00	641158.3125	3436194.0000	2540	NA
269	2/18/2007 13:00	642557.6875	3435048.7500	2770	
269	2/18/2007 14:00	640827.2500	3435968.0000	2426	
269	2/18/2007 15:00	640843.3750	3435949.7500	2430	
269	2/18/2007 16:00	640843.1250	3435968.2500	2430	
269	2/18/2007 17:00	640843.3750	3435949.7500	2434	
269	2/18/2007 18:00	641221.0000	3435067.7500	2300	
269	2/18/2007 19:00	641221.2500	3435049.2500	2300	
269	2/18/2007 20:00	641221.0000	3435067.7500	2320	
269	2/19/2007 5:00	641205.1250	3435067.7500	2310	NA
269	2/19/2007 6:00	641221.0000	3435067.7500	2310	
269	2/19/2007 7:00	641221.0000	3435067.7500	2310	
269	2/19/2007 8:00	641221.2500	3435049.2500	2300	
269	2/19/2007 9:00	641056.8125	3435453.7500	2300	
269	2/19/2007 10:00	640843.3750	3435949.7500	2450	
269	2/19/2007 11:00	640843.3750	3435949.7500	2434	
269	2/19/2007 12:00	641204.6250	3435104.5000	2300	
269	2/19/2007 13:00	641094.2500	3435029.2500	2310	
269	2/19/2007 14:00	641094.7500	3434992.2500	2310	
269	2/19/2007 15:00	641313.0000	3435327.7500	2330	
269	2/19/2007 16:00	641312.7500	3435346.2500	2330	
269	2/19/2007 17:00	645804.2500	3434982.0000	2628	
269	2/19/2007 18:00	657086.9375	3435919.2500	2370	
269	2/19/2007 19:00	656814.0625	3436081.5000	1400	
269	2/19/2007 20:00	656829.9375	3436081.7500	1404	
269	2/20/2007 5:00	656829.9375	3436081.7500	1410	NA
269	2/20/2007 6:00	656814.0625	3436081.5000	1410	
269	2/20/2007 7:00	657238.5625	3436420.5000	1400	
269	2/20/2007 8:00	656753.7500	3436930.7500	1250	
269	2/20/2007 9:00	647927.7500	3439002.7500	2080	
269	2/20/2007 10:00	640634.4375	3436113.2500	2392	
269	2/20/2007 11:00	634866.4375	3436851.2500	2210	
269	2/20/2007 12:00	640984.0625	3436136.2500	2480	
269	2/20/2007 13:00	640919.7500	3436191.0000	2460	
269	2/20/2007 14:00	639767.0000	3436748.5000	2490	
269	2/20/2007 16:00	636324.6250	3436020.0000	2450	NA
269	2/20/2007 17:00	656688.4375	3435969.0000	1520	
269	2/20/2007 18:00	656877.1250	3436119.5000	1376	
269	2/20/2007 19:00	656860.9375	3436137.7500	1356	
269	2/20/2007 20:00	656893.0625	3436119.7500	1379	
269	2/21/2007 5:00	656877.1250	3436119.5000	1376	NA
269	2/21/2007 7:00	656893.0625	3436119.7500	1379	NA
269	2/21/2007 8:00	656892.7500	3436138.2500	1364	
269	2/21/2007 9:00	656717.2500	3436172.5000	1339	
269	2/21/2007 11:00	649734.5000	3439453.0000	2196	NA
269	2/21/2007 15:00	639026.3125	3436221.2500	2450	NA
269	2/21/2007 18:00	636684.5625	3435248.5000	2350	NA
269	2/21/2007 19:00	636684.3125	3435267.0000	2360	
269	2/21/2007 20:00	636668.3750	3435266.7500	2360	
269	2/22/2007 5:00	636668.3750	3435266.7500	2350	NA
269	2/22/2007 6:00	636668.6250	3435248.2500	2350	
269	2/22/2007 7:00	636668.6250	3435248.2500	2351	
269	2/22/2007 8:00	636668.3750	3435266.7500	2360	
269	2/22/2007 9:00	636652.5000	3435266.7500	2370	
269	2/22/2007 10:00	645644.1250	3435053.7500	2650	
269	2/22/2007 11:00	656766.6250	3436062.5000	1440	
269	2/22/2007 12:00	656605.3750	3436207.7500	1380	
269	2/22/2007 13:00	658181.0000	3438301.0000	1050	
269	2/22/2007 14:00	656656.9375	3435950.0000	1550	
269	2/22/2007 16:00	657163.1875	3436142.2500	1430	NA
269	2/22/2007 18:00	656891.1250	3436249.0000	1410	NA
269	2/22/2007 19:00	656859.5625	3436230.0000	1310	
269	2/22/2007 20:00	656859.0625	3436267.0000	1271	
269	2/23/2007 5:00	656874.6875	3436285.7500	1260	NA
269	2/23/2007 7:00	656204.7500	3436405.2500	1230	NA
269	2/23/2007 8:00	656237.3750	3436350.2500	1220	
269	2/23/2007 9:00	656237.3750	3436350.2500	1228	
269	2/23/2007 10:00	653767.3125	3438827.2500	1210	
269	2/23/2007 12:00	656071.5000	3436809.7500	1840	NA
269	2/23/2007 13:00	656460.8750	3436298.2500	1400	
269	2/23/2007 14:00	656730.1875	3436376.0000	1320	
269	2/23/2007 15:00	656688.1875	3435987.2500	1479	
269	2/23/2007 16:00	656940.7500	3436120.5000	1400	
269	2/23/2007 17:00	656811.3125	3436266.2500	1370	
269	2/23/2007 18:00	656577.6250	3435930.2500	1469	
269	2/23/2007 20:00	656577.6250	3435930.2500	1469	NA
269	2/24/2007 7:00	656639.6250	3436042.0000	1412	NA
269	2/24/2007 8:00	654291.0000	3438908.7500	1150	
269	2/24/2007 9:00	651832.8125	3442846.0000	1140	
269	2/24/2007 10:00	649954.7500	3439622.5000	2020	
269	2/24/2007 11:00	657131.6250	3436123.2500	1530	
269	2/24/2007 12:00	657145.0625	3436289.7500	1360	
269	2/24/2007 13:00	657283.0000	3437714.7500	1420	
269	2/24/2007 14:00	656530.3750	3438054.7500	1300	
269	2/24/2007 15:00	656401.9375	3437055.0000	1360	
269	2/24/2007 16:00	657162.0625	3436216.0000	1400	
269	2/24/2007 17:00	656640.4375	3435986.7500	1470	
269	2/24/2007 18:00	656593.5625	3435930.5000	1470	
269	2/24/2007 19:00	656639.9375	3436023.5000	1427	
269	2/24/2007 20:00	656639.6250	3436042.0000	1410	
269	2/25/2007 5:00	656639.6250	3436042.0000	1412	NA
269	2/25/2007 6:00	656655.2500	3436060.7500	1400	
269	2/25/2007 7:00	656335.2500	3436185.5000	1400	
269	2/25/2007 8:00	656351.6875	3436148.7500	1390	
269	2/25/2007 9:00	656367.3125	3436167.5000	1350	
269	2/25/2007 10:00	656334.4375	3436240.7500	1330	
269	2/25/2007 11:00	653861.6250	3438902.5000	1330	
269	2/25/2007 12:00	651489.7500	3442379.2500	990	
269	2/25/2007 13:00	651670.6875	3439739.2500	1610	
269	2/25/2007 14:00	653351.1875	3439006.0000	1360	
269	2/25/2007 15:00	656669.0000	3436208.7500	1320	
269	2/25/2007 16:00	656240.6250	3436128.5000	1470	
269	2/25/2007 17:00	656347.3125	3436444.2500	2670	
269	2/25/2007 18:00	656481.9375	3435947.2500	1480	
269	2/25/2007 19:00	656481.9375	3435947.2500	1520	
269	2/25/2007 20:00	656481.9375	3435947.2500	1480	
269	2/26/2007 5:00	656481.9375	3435947.2500	1466	NA
269	2/26/2007 6:00	656481.9375	3435947.2500	1480	
269	2/26/2007 7:00	656174.2500	3436312.5000	1265	
269	2/26/2007 8:00	656206.0625	3436312.7500	1267	
269	2/26/2007 9:00	656237.3750	3436350.2500	1228	
269	2/26/2007 10:00	656237.3750	3436350.2500	1228	
269	2/26/2007 11:00	650105.1250	3440234.5000	1790	
269	2/26/2007 12:00	641031.8125	3436137.0000	2550	
269	2/26/2007 13:00	640935.6250	3436191.2500	2470	
269	2/26/2007 14:00	640509.6250	3435926.7500	2410	
269	2/26/2007 15:00	639753.7500	3435344.0000	2390	
269	2/26/2007 16:00	646724.2500	3434034.0000	2790	
269	2/26/2007 17:00	656674.4375	3435839.2500	1600	
269	2/26/2007 18:00	656924.5625	3436138.7500	1375	
269	2/26/2007 19:00	656924.5625	3436138.7500	1375	
269	2/27/2007 5:00	656924.5625	3436138.7500	1375	NA
269	2/27/2007 7:00	656924.3125	3436157.2500	1375	NA
269	2/27/2007 10:00	656798.1875	3436081.2500	1403	NA
269	2/27/2007 11:00	656798.1875	3436081.2500	1420	
269	2/27/2007 12:00	655365.8125	3436115.7500	1082	
269	2/27/2007 18:00	656814.0625	3436081.5000	1403	NA
269	2/28/2007 6:00	656814.0625	3436081.5000	1403	NA
269	2/28/2007 7:00	656781.6875	3436118.0000	1390	
269	2/28/2007 8:00	656287.0000	3436221.7500	1340	
269	2/28/2007 9:00	650735.3125	3440650.0000	1410	
269	2/28/2007 10:00	656225.5625	3436073.0000	1470	
269	2/28/2007 11:00	656088.6250	3435646.0000	1608	
269	2/28/2007 12:00	642381.0000	3435175.7500	2490	
269	2/28/2007 16:00	638329.6250	3435972.0000	2380	NA
269	2/28/2007 17:00	653916.8125	3437295.7500	1730	
269	2/28/2007 18:00	656955.0000	3436231.5000	1710	
269	2/28/2007 19:00	656877.1250	3436119.5000	1376	
269	3/1/2007 5:00	656860.9375	3436137.7500	1356	NA
269	3/1/2007 7:00	656860.6875	3436156.2500	1356	NA
269	3/1/2007 8:00	656876.3125	3436175.0000	1350	
269	3/1/2007 9:00	656669.0000	3436208.7500	1320	
269	3/1/2007 10:00	651724.4375	3438206.5000	1720	
269	3/1/2007 11:00	649875.5000	3439603.0000	1850	
269	3/1/2007 12:00	649148.0000	3439315.5000	2070	
269	3/1/2007 13:00	636157.7500	3436627.5000	2310	
269	3/2/2007 9:00	632746.9375	3439706.7500	1560	NA
269	3/2/2007 10:00	632638.1875	3439502.2500	1550	
269	3/2/2007 13:00	645903.2500	3434724.7500	2628	NA
269	3/2/2007 15:00	665026.0000	3435929.0000	1110	NA
269	3/2/2007 16:00	661166.3125	3435500.2500	1250	
269	3/2/2007 17:00	656419.6875	3435854.0000	1610	
269	3/2/2007 18:00	656639.3750	3436060.5000	1400	
269	3/2/2007 19:00	656623.4375	3436060.2500	1400	
269	3/2/2007 20:00	656639.3750	3436060.5000	1400	
269	3/3/2007 5:00	656653.3750	3436190.0000	1329	NA
269	3/3/2007 7:00	656142.7500	3436293.5000	1330	NA
269	3/3/2007 8:00	656451.5000	3435854.5000	1590	
269	3/3/2007 9:00	652866.6875	3441715.2500	780	
269	3/3/2007 10:00	652785.7500	3442915.2500	610	
269	3/3/2007 11:00	654263.2500	3438631.2500	1280	
269	3/3/2007 12:00	656451.7500	3435836.0000	1606	
269	3/3/2007 13:00	653414.0000	3442351.5000	800	
269	3/3/2007 14:00	653099.5625	3442106.7500	970	
269	3/3/2007 15:00	653745.6250	3441413.7500	700	
269	3/3/2007 16:00	652702.0000	3443209.7500	600	
269	3/3/2007 17:00	652141.5000	3442388.5000	2108	
269	3/3/2007 18:00	651681.3125	3442326.5000	2111	
269	3/3/2007 19:00	651634.3750	3442270.2500	890	
269	3/3/2007 20:00	651634.3750	3442270.2500	890	
269	3/4/2007 5:00	651618.5000	3442270.0000	900	NA
269	3/4/2007 6:00	651634.3750	3442270.2500	880	
269	3/4/2007 7:00	651618.5000	3442270.0000	880	
269	3/4/2007 8:00	651618.2500	3442288.5000	870	
269	3/4/2007 10:00	652599.5625	3439290.7500	2140	NA
269	3/4/2007 11:00	653720.1875	3439879.7500	1070	
269	3/4/2007 12:00	647190.4375	3439417.5000	2120	
269	3/4/2007 13:00	656419.6875	3435854.0000	1610	
269	3/4/2007 14:00	656689.0000	3435932.0000	1570	
269	3/4/2007 15:00	656689.0000	3435932.0000	1550	
269	3/4/2007 17:00	656625.6250	3435912.5000	1520	NA
269	3/5/2007 8:00	656401.3125	3436020.0000	1510	NA
269	3/5/2007 9:00	656209.6250	3436072.7500	1510	
269	3/5/2007 10:00	651039.8750	3442705.2500	1370	
269	3/5/2007 11:00	647947.5625	3440998.5000	1830	
269	3/5/2007 12:00	644708.9375	3440621.2500	2760	
