Condor_ID,Timestamp,X,Y,Z,obsVarXY,obsVarZ,moveVarXY,moveVarZ
269,2/1/2007 7:00,656353.625,3436019.25,1490,25,89,500,120
269,2/1/2007 8:00,657225.6875,3436217,1480,25,89,500,120
269,2/1/2007 9:00,657210.0625,3436198.25,1400,25,89,500,120
269,2/1/2007 10:00,651553.8125,3440125.75,1410,25,89,500,120
269,2/1/2007 11:00,638301.625,3432017.5,2484,25,89,500,120
269,2/2/2007 11:00,635478.4375,3437505.75,2320,25,89,500,120
269,2/2/2007 12:00,634203.375,3437711.25,1680,25,89,500,120
269,2/2/2007 18:00,635865.25,3435866.25,2330,25,89,500,120
269,2/2/2007 19:00,635930.5625,3435737.75,2240,25,89,500,120
269,2/2/2007 20:00,635946.6875,3435719.5,2271,25,89,500,120
269,2/3/2007 5:00,635930.5625,3435737.75,2244,25,89,500,120
269,2/3/2007 6:00,635930.5625,3435737.75,2244,25,89,500,120
269,2/3/2007 7:00,635930.5625,3435737.75,2244,25,89,500,120
269,2/3/2007 8:00,635930.8125,3435719.25,2261,25,89,500,120
269,2/3/2007 9:00,635930.5625,3435737.75,2240,25,89,500,120
269,2/3/2007 10:00,635946.6875,3435719.5,2271,25,89,500,120
269,2/3/2007 11:00,636054.25,3436016.5,2274,25,89,500,120
269,2/3/2007 12:00,636392.0625,3435725.25,2440,25,89,500,120
269,2/3/2007 19:00,635946.6875,3435719.5,2271,25,89,500,120
269,2/3/2007 20:00,635946.9375,3435701,2289,25,89,500,120
269,2/4/2007 7:00,635946.6875,3435719.5,2271,25,89,500,120
269,2/4/2007 8:00,635946.9375,3435701,2289,25,89,500,120
269,2/4/2007 14:00,636338.875,3436149.5,2560,25,89,500,120
269,2/4/2007 15:00,651984.6875,3440021,2480,25,89,500,120
269,2/4/2007 16:00,651217.375,3442523,1420,25,89,500,120
269,2/4/2007 17:00,651166.5625,3442744,1400,25,89,500,120
269,2/4/2007 18:00,650977.375,3442630.5,1260,25,89,500,120
269,2/4/2007 19:00,650993.25,3442630.75,1280,25,89,500,120
269,2/4/2007 20:00,650993,3442649.25,1280,25,89,500,120
269,2/5/2007 5:00,650993.25,3442630.75,1270,25,89,500,120
269,2/5/2007 6:00,650993.25,3442630.75,1270,25,89,500,120
269,2/5/2007 7:00,651040.4375,3442668.25,1270,25,89,500,120
269,2/5/2007 8:00,651056.3125,3442668.5,1260,25,89,500,120
269,2/5/2007 9:00,651026.375,3442538.75,1270,25,89,500,120
269,2/5/2007 10:00,653065.375,3440073.5,1270,25,89,500,120
269,2/5/2007 11:00,657632.6875,3436666.5,1280,25,89,500,120
269,2/5/2007 12:00,656940,3437247.75,1600,25,89,500,120
269,2/5/2007 13:00,661422.375,3436446.5,1280,25,89,500,120
269,2/5/2007 14:00,684208.6875,3433583.75,1120,25,89,500,120
269,2/5/2007 15:00,695775.875,3434696.75,900,25,89,500,120
269,2/5/2007 16:00,696436.125,3434283.75,580,25,89,500,120
269,2/5/2007 17:00,696420.875,3434246.5,560,25,89,500,120
269,2/5/2007 18:00,696838,3434069.5,510,25,89,500,120
269,2/5/2007 19:00,696853.125,3433256.5,500,25,89,500,120
269,2/5/2007 20:00,696819.5625,3433348.25,420,25,89,500,120
269,2/6/2007 5:00,696819.1875,3433366.75,2087,25,89,500,120
269,2/6/2007 6:00,696819.1875,3433366.75,430,25,89,500,120
269,2/6/2007 7:00,696851.0625,3433367.25,430,25,89,500,120
269,2/6/2007 8:00,696819.1875,3433366.75,420,25,89,500,120
269,2/6/2007 9:00,696786.375,3433421.5,440,25,89,500,120
269,2/6/2007 10:00,696122.6875,3434019.25,600,25,89,500,120
269,2/6/2007 11:00,696122.6875,3434019.25,610,25,89,500,120
269,2/6/2007 12:00,684429.5625,3435528.25,940,25,89,500,120
269,2/6/2007 13:00,660743.5625,3438191.75,1160,25,89,500,120
269,2/6/2007 14:00,653237.75,3439152.25,1660,25,89,500,120
269,2/6/2007 15:00,657112.4375,3436344.75,1330,25,89,500,120
269,2/6/2007 16:00,657112.4375,3436344.75,1330,25,89,500,120
269,2/6/2007 18:00,656716.4375,3436228,1330,25,89,500,120
269,2/6/2007 19:00,656669.5625,3436171.75,1341,25,89,500,120
269,2/6/2007 20:00,656700.25,3436246.25,1320,25,89,500,120
269,2/7/2007 5:00,656700.5625,3436227.75,1299,25,89,500,120
269,2/7/2007 7:00,657047.75,3436417.75,1270,25,89,500,120
269,2/7/2007 8:00,656871.9375,3436470.5,1250,25,89,500,120
269,2/7/2007 9:00,657410.25,3436644.75,1116,25,89,500,120
269,2/7/2007 10:00,657266.5625,3436679.75,1159,25,89,500,120
269,2/7/2007 11:00,657250.6875,3436679.5,1158,25,89,500,120
269,2/7/2007 12:00,644887.875,3437999.75,2840,25,89,500,120
269,2/7/2007 13:00,641352.25,3434774,2720,25,89,500,120
269,2/7/2007 14:00,645698.75,3434555.75,2630,25,89,500,120
269,2/7/2007 15:00,634069.125,3424406.5,2380,25,89,500,120
269,2/7/2007 16:00,634409.5,3431487.25,2330,25,89,500,120
269,2/7/2007 17:00,650915.125,3442537.25,1160,25,89,500,120
269,2/7/2007 18:00,651073.25,3442595,1190,25,89,500,120
269,2/7/2007 19:00,651073,3442613.5,1210,25,89,500,120
269,2/7/2007 20:00,651072.75,3442631.75,1160,25,89,500,120
269,2/8/2007 5:00,651057.125,3442613.25,1150,25,89,500,120
269,2/8/2007 6:00,651056.875,3442631.75,1160,25,89,500,120
269,2/8/2007 7:00,651344.3125,3442543.25,1160,25,89,500,120
269,2/8/2007 8:00,651567.875,3442472.75,1160,25,89,500,120
269,2/8/2007 9:00,651804.75,3442587,1140,25,89,500,120
269,2/8/2007 10:00,651805.5625,3442531.5,950,25,89,500,120
269,2/8/2007 11:00,640440.625,3435131.5,2430,25,89,500,120
269,2/9/2007 15:00,636311.0625,3437073,2220,25,89,500,120
269,2/10/2007 20:00,635883.5625,3435681.75,2273,25,89,500,120
269,2/11/2007 14:00,650147.8125,3446185,1700,25,89,500,120
269,2/11/2007 15:00,653933.5625,3438330.75,1720,25,89,500,120
